min tour length; max tour length
4296; 6929
3773; 6941
3773; 6941
3773; 6934
3773; 6934
3773; 6934
3432; 6934
3432; 6934
3432; 6965
3303; 6965
3117; 6730
3107; 6730
3104; 6730
3028; 6378
3004; 6720
3004; 6720
2895; 6378
2628; 6378
2623; 6378
2623; 6363
2605; 6363
2570; 6363
2528; 6363
2510; 6363
2510; 6361
2506; 6304
2483; 6304
2448; 6100
2448; 6100
2448; 6100
2448; 5998
2448; 5998
2448; 6144
2448; 6126
2448; 6126
2448; 6126
2430; 6095
2430; 6108
2430; 6206
2428; 6206
2428; 6206
2428; 6206
2321; 6122
2206; 6454
2206; 6454
2047; 6454
2047; 6454
2047; 6454
2047; 6454
2002; 6454
2002; 6454
2002; 6680
1937; 6394
1937; 6394
1937; 6199
1937; 6199
1937; 6218
1937; 6218
1937; 6218
1937; 6221
1937; 6263
1937; 6954
1937; 6867
1937; 6831
1937; 6831
1937; 6831
1937; 6831
1937; 6831
1937; 6831
1930; 6831
1930; 6831
1930; 6831
1930; 7148
1930; 7178
1930; 7178
1930; 7178
1930; 6952
1930; 6952
1930; 6952
1930; 6952
1930; 6952
1930; 6754
1930; 6754
1930; 6643
1930; 6643
1930; 6606
1930; 6486
1930; 6509
1930; 6509
1930; 6509
1930; 6509
1930; 6961
1930; 6961
1930; 6961
1930; 6961
1930; 6961
1930; 6961
1930; 6961
1930; 6961
1930; 6961
1930; 6961
1930; 6892
1930; 6892
1930; 6718
1930; 6718
1930; 7124
1930; 6939
1930; 6378
1930; 6378
1930; 6361
1930; 6361
1930; 6430
1930; 6430
1930; 6430
1930; 6443
1930; 6443
1930; 6443
1930; 6443
1930; 6336
1930; 6489
1930; 6336
1930; 6466
1930; 6466
1930; 6466
1930; 6466
1930; 6466
1930; 6338
1930; 6338
1930; 6350
1930; 6350
1930; 6360
1930; 6360
1930; 6360
1930; 6360
1930; 6360
1930; 6391
1930; 6391
1930; 6391
1930; 6391
1930; 6391
1930; 6391
1930; 6391
1930; 6391
1930; 6391
1930; 6450
1930; 6482
1930; 6536
1930; 6536
1930; 6536
1930; 6536
1930; 6536
1930; 6176
1930; 6176
1930; 6178
1930; 5985
1930; 6187
1930; 6187
1930; 6187
1930; 6187
1930; 6395
1930; 6419
1930; 6627
1930; 6627
1930; 6627
1930; 6627
1930; 6627
1930; 6627
1930; 6689
1930; 6823
1930; 6823
1930; 6823
1930; 6829
1930; 6427
1930; 6428
1930; 6428
1930; 6428
1930; 6300
1930; 6300
1930; 6300
1930; 6294
1930; 6428
1930; 6428
1930; 6428
1930; 6352
1930; 6352
1930; 6370
1930; 6370
1930; 6370
1930; 6240
1930; 6240
1930; 6272
1930; 6586
1930; 6586
1930; 6586
1930; 6649
1930; 6483
1930; 6428
1930; 6428
1930; 6371
1930; 6371
1930; 6442
1930; 6442
1930; 6442
1930; 6219
1930; 6219
1930; 6219
1930; 6219
1930; 6219
1930; 6839
1930; 6815
1930; 6815
1930; 6815
1930; 6815
1930; 6378
1930; 6378
1930; 6378
1930; 6378
1930; 6285
1930; 6285
1930; 6322
1930; 6322
1930; 6322
1930; 6322
1930; 5915
1930; 5915
1930; 5952
1930; 5952
1930; 5952
1930; 5885
1930; 6192
1930; 6192
1930; 6319
1930; 6319
1930; 6319
1930; 6319
1930; 6388
1930; 6388
1930; 6239
1930; 6239
1930; 6239
1930; 6239
1930; 6239
1930; 6310
1930; 6310
1930; 6451
1930; 6451
1930; 6451
1930; 6756
1930; 6756
1930; 6756
1930; 6756
1930; 6756
1930; 6756
1930; 6756
1930; 6756
1930; 6756
1930; 6756
1930; 6756
1930; 6540
1930; 6540
1930; 6540
1930; 6619
1930; 6541
1930; 6602
1930; 6602
1930; 6602
1930; 6911
1930; 7089
1930; 7089
1930; 7089
1930; 6728
1930; 6728
1930; 6728
1930; 6728
1930; 6728
1930; 7053
1930; 7053
1930; 7038
1930; 7210
1930; 6800
1930; 6800
1930; 6800
1930; 6717
1930; 6717
1930; 6717
1930; 6717
1930; 6717
1930; 6717
1930; 6717
1930; 6717
1930; 6717
1930; 6717
1930; 6717
1930; 6717
1930; 6444
1930; 6444
1930; 6444
1930; 6420
1930; 6420
1930; 6420
1930; 6420
1930; 6420
1930; 6420
1930; 6351
1930; 6580
1930; 6580
1930; 6580
1930; 6580
1930; 6315
1930; 6198
1930; 6198
1930; 6147
1930; 6136
1930; 6136
1930; 6136
1930; 5998
1930; 5943
1930; 5943
1930; 6045
1930; 6232
1930; 6232
1930; 6232
1930; 6232
1930; 6349
1930; 6427
1930; 6418
1930; 6418
1930; 6418
1930; 6418
1930; 6727
1930; 6475
1930; 6496
1930; 6475
1930; 6406
1930; 6407
1930; 6407
1930; 6407
1930; 6407
1930; 6477
1930; 6477
1930; 6477
1930; 6396
1930; 6396
1930; 6200
1930; 6200
1930; 6200
1930; 6200
1930; 6200
1930; 6200
1930; 6200
1930; 6200
1930; 6200
